"ID","Address","Name","Size","Organization","Description","Units","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1"
"WESSOT","0x10004","Winkel Einlass schliesst spät bis OT","1x1","8 Bit","-","°KW","-","-","2.8125","1.0","1.0","140.625","140.625","0x32","0x32"
"WESSOT","0x10004","Winkel Einlass schliesst spät bis OT","1x1","8 Bit","-","°KW","-","-","2.8125","1.0","1.0","140.625","140.625","0x32","0x32"
"ZYLKOR","0x10055","Wert zur Zylinderkorrektur (tsroh zu zzyldmd)","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","5.0","5.0","0x5","0x5"
"CW_AZUE","0x10056","Konfigurationscodewort Zündausgabe","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1"
"IGNDELAY","0x10057","Synchroanzahl Zündfreigabeverzögerung AZUE","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0"
"TMZUB2MX","0x10058","Temperaturschwelle für Winkelpriorität während Kaltstart","1x1","8 Bit","-","Grad C","-","-","0.75","1.0","1.0","143.25","143.25","0xff","0xff"
"ZWFUBAMN","0x10059","Endwinkel der Mehrfachfunkenzündung, falls konfiguriert","1x1","8 Bit","-","Grad KW","-","-","-5.999988000024","1.0","1.0","-29.999940000120006","-29.999940000120006","0x11","0x11"
"FHO04ESUB","0x1005b","SST-Verteilung für Höhenfaktor","4x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.609375","1.0","0x27","0x40"
"FHO04ESUB","0x1005b","SST-Verteilung für Höhenfaktor","4x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.609375","1.0","0x27","0x40"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SKS06ESUB","0x10069","SST-Verteilung für den Startadaptionsfaktor kstaa","6x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.6015625","1.1015625","0x4d","0x8d"
"SKS06ESUB","0x10069","SST-Verteilung für den Startadaptionsfaktor kstaa","6x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.6015625","1.1015625","0x4d","0x8d"
"SLD04LDUB","0x10070","Stützstellenverteilung für Ladedruckregelung","4x1","8 Bit","-","hPa","?","-","10.0","1.0","1.0","0.0","700.0","0x0","0x46"
"SLD04LDUB","0x10070","Stützstellenverteilung für Ladedruckregelung","4x1","8 Bit","-","hPa","?","-","10.0","1.0","1.0","0.0","700.0","0x0","0x46"
"SNG06LLSB","0x10075","Stützstellenverteilung Drehzahlgradient, 6 Sst.","6x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-1300.0","500.0","0xf3","0x5"
"SNG06LLSB","0x10075","Stützstellenverteilung Drehzahlgradient, 6 Sst.","6x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-1300.0","500.0","0xf3","0x5"
"SNM05NWUB","0x1007c","Drehzahlstützstellen Nockenwellensollwinkel","5x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","0.0","10200.0","0x0","0xff"
"SNM05NWUB","0x1007c","Drehzahlstützstellen Nockenwellensollwinkel","5x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","0.0","10200.0","0x0","0xff"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x10082","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
