"ID","Address","Name","Size","Organization","Description","Units","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1"
"WESSOT","0x10004","Winkel Einlass schliesst spät bis OT","1x1","8 Bit","-","°KW","-","-","2.8125","1.0","1.0","160.3125","160.3125","0x39","0x39"
"CW_AZUE","0x10055","Konfigurationscodewort Zündausgabe","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0"
"TMZUB2MX","0x10056","Temperaturschwelle für Winkelpriorität während Kaltstart","1x1","8 Bit","-","Grad C","-","-","0.75","1.0","1.0","143.25","143.25","0xff","0xff"
"ZWFUBAMN","0x10057","Endwinkel der Mehrfachfunkenzündung, falls konfiguriert","1x1","8 Bit","-","Grad KW","-","-","-5.999988000024","1.0","1.0","-29.999940000120006","-29.999940000120006","0x11","0x11"
"FHO04ESUB","0x1005a","SST-Verteilung für Höhenfaktor","39x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.0","3.984375","0x0","0xff"
"FHO04ESUB","0x1005a","SST-Verteilung für Höhenfaktor","39x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.0","3.984375","0x0","0xff"
"SGA08MDUB","0x1005f","Stützstellenverteilung Ist Gang 8 Sst.","0x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","9.223372036854776E18","-9.223372036854776E18","0xff","0x0"
"SGA08MDUB","0x1005f","Stützstellenverteilung Ist Gang 8 Sst.","0x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","9.223372036854776E18","-9.223372036854776E18","0xff","0x0"
"SGA08MDUB","0x1005f","Stützstellenverteilung Ist Gang 8 Sst.","0x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","9.223372036854776E18","-9.223372036854776E18","0xff","0x0"
"SGA08MDUB","0x1005f","Stützstellenverteilung Ist Gang 8 Sst.","0x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","9.223372036854776E18","-9.223372036854776E18","0xff","0x0"
"SKS06ESUB","0x10068","SST-Verteilung für den Startadaptionsfaktor kstaa","77x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.0","1.9921875","0x0","0xff"
"SKS06ESUB","0x10068","SST-Verteilung für den Startadaptionsfaktor kstaa","77x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.0","1.9921875","0x0","0xff"
"SLD04LDUB","0x1006f","Stützstellenverteilung für Ladedruckregelung","0x1","8 Bit","-","hPa","-","-","10.0","1.0","1.0","9.223372036854776E19","-9.223372036854776E19","0xff","0x0"
"SLD04LDUB","0x1006f","Stützstellenverteilung für Ladedruckregelung","0x1","8 Bit","-","hPa","-","-","10.0","1.0","1.0","9.223372036854776E19","-9.223372036854776E19","0xff","0x0"
"SNG06LLSB","0x10074","Stützstellenverteilung Drehzahlgradient, 6 Sst.","243x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-12500.0","12700.0","0x83","0x7f"
"SNG06LLSB","0x10074","Stützstellenverteilung Drehzahlgradient, 6 Sst.","243x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-12500.0","12700.0","0x83","0x7f"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08DMUB","0x1007b","SST-Verteilung in DMD, 8 Drehzahl-SST","20x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","320.0","7000.0","0x8","0xaf"
"SNM08LDUB","0x10084","Stützstellenverteilung für Ladedruckregelung","38x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM08LDUB","0x10084","Stützstellenverteilung für Ladedruckregelung","38x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM08LDUB","0x10084","Stützstellenverteilung für Ladedruckregelung","38x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM08LDUB","0x10084","Stützstellenverteilung für Ladedruckregelung","38x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM08OPUB","0x1008d","Stützstellenverteilung für Motordrehzahl nmot","25x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM08OPUB","0x1008d","Stützstellenverteilung für Motordrehzahl nmot","25x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","7000.0","0x6","0xaf"
"SNM12ESUB","0x10096","SST-Verteilung für die Motordrehzahl nmot","18x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","6520.0","0x6","0xa3"
"SNM12ESUB","0x10096","SST-Verteilung für die Motordrehzahl nmot","18x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","6520.0","0x6","0xa3"
"SNM12FEUB","0x100a3","Stützstellen für WDKSMX, WDKUGDN","6x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","2520.0","0xd","0x3f"
"SNM12FEUB","0x100a3","Stützstellen für WDKSMX, WDKUGDN","6x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","2520.0","0xd","0x3f"
"SNM12FEUB","0x100a3","Stützstellen für WDKSMX, WDKUGDN","6x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","2520.0","0xd","0x3f"
"SNM16LDUB","0x100b0","Stützstellenverteilung für Ladedruckregelung","25x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","200.0","8080.0","0x5","0xca"
"SNM16LDUB","0x100b0","Stützstellenverteilung für Ladedruckregelung","25x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","200.0","8080.0","0x5","0xca"
"SPU08LDUB","0x100c1","Stützstellenverteilung für Ladedruckregelung","120x1","8 Bit","-","hPa","?","-","5.0","1.0","1.0","0.0","1200.0","0x0","0xf0"
"SPU08LDUB","0x100c1","Stützstellenverteilung für Ladedruckregelung","120x1","8 Bit","-","hPa","?","-","5.0","1.0","1.0","0.0","1200.0","0x0","0xf0"
"SQM05TEUB","0x100ca","Luftmassenquotient-abhängige Stützstellen (Anzahl =5)","0x1","8 Bit","-","-","-","-","0.0625","1.0","1.0","5.7646075230342349E17","-5.7646075230342349E17","0xff","0x0"
"SQM05TEUB","0x100ca","Luftmassenquotient-abhängige Stützstellen (Anzahl =5)","0x1","8 Bit","-","-","-","-","0.0625","1.0","1.0","5.7646075230342349E17","-5.7646075230342349E17","0xff","0x0"
"SRL06ESUB","0x100d0","Sst-Verteilung für die relative Füllung rl","13x1","8 Bit","-","%","?","-","0.75","1.0","1.0","6.0","114.75","0x8","0x99"
"SRL06ESUB","0x100d0","Sst-Verteilung für die relative Füllung rl","13x1","8 Bit","-","%","?","-","0.75","1.0","1.0","6.0","114.75","0x8","0x99"
"SRL08DMUB","0x100d7","SST-Verteilung in DMD, 8 Last-SST","25x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRL08DMUB","0x100d7","SST-Verteilung in DMD, 8 Last-SST","25x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRL08DMUB","0x100d7","SST-Verteilung in DMD, 8 Last-SST","25x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRL08DMUB","0x100d7","SST-Verteilung in DMD, 8 Last-SST","25x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRL08DMUB","0x100d7","SST-Verteilung in DMD, 8 Last-SST","25x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRL12ESUB","0x100e0","Sst-Verteilung für die relative Füllung rl","14x1","8 Bit","-","%","?","-","0.75","1.0","1.0","4.5","180.0","0x6","0xf0"
"SRP06ESUB","0x100ed","SST-Verteilung für rel. Luftfüllung präd. für Einspritzung","20x1","8 Bit","-","%","?","-","0.75","1.0","1.0","3.0","180.0","0x4","0xf0"
"SRP06ESUB","0x100ed","SST-Verteilung für rel. Luftfüllung präd. für Einspritzung","20x1","8 Bit","-","%","?","-","0.75","1.0","1.0","3.0","180.0","0x4","0xf0"
"STA08LDUB","0x100f4","Stützstellenverteilung für Ladedruckregelung","37x1","8 Bit","-","Grad C","?","-","0.75","1.0","1.0","-45.0","120.0","0x4","0xe0"
