"ID","Address","Name","Size","Organization","Description","Units","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1"
"WESSOT","0x10004","Winkel Einlass schliesst spät bis OT","1x1","8 Bit","-","°KW","-","-","2.8125","1.0","1.0","140.625","140.625","0x32","0x32"
"CWGGVFZG","0x10005","Codewort für %GGVFZG","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0"
"TFGRVRAB","0x10006","FGR: Zeit für Geschwindigkeitsabschaltung über vroh =0","1x1","8 Bit","-","s","-","-","0.02","1.0","1.0","0.2","0.2","0xa","0xa"
"CW_AZUE","0x10057","Konfigurationscodewort Zündausgabe","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1"
"TMZUB2MX","0x10058","Temperaturschwelle für Winkelpriorität während Kaltstart","1x1","8 Bit","-","Grad C","-","-","0.75","1.0","1.0","143.25","143.25","0xff","0xff"
"ZWFUBAMN","0x10059","Endwinkel der Mehrfachfunkenzündung, falls konfiguriert","1x1","8 Bit","-","Grad KW","-","-","-5.999988000024","1.0","1.0","-29.999940000120006","-29.999940000120006","0x11","0x11"
"FHO04ESUB","0x1005b","SST-Verteilung für Höhenfaktor","4x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.78125","3.125","0x32","0xc8"
"FHO04ESUB","0x1005b","SST-Verteilung für Höhenfaktor","4x1","8 Bit","-","-","?","-","0.015625","1.0","1.0","0.78125","3.125","0x32","0xc8"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SGA08MDUB","0x10060","Stützstellenverteilung Ist Gang 8 Sst.","8x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","?","-","1.0","1.0","1.0","0.0","7.0","0x0","0x7"
"SKS06ESUB","0x10069","SST-Verteilung für den Startadaptionsfaktor kstaa","6x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.6015625","1.1015625","0x4d","0x8d"
"SKS06ESUB","0x10069","SST-Verteilung für den Startadaptionsfaktor kstaa","6x1","8 Bit","-","-","?","-","0.0078125","1.0","1.0","0.6015625","1.1015625","0x4d","0x8d"
"SLD04LDUB","0x10070","Stützstellenverteilung für Ladedruckregelung","4x1","8 Bit","-","hPa","?","-","10.0","1.0","1.0","0.0","700.0","0x0","0x46"
"SLD04LDUB","0x10070","Stützstellenverteilung für Ladedruckregelung","4x1","8 Bit","-","hPa","?","-","10.0","1.0","1.0","0.0","700.0","0x0","0x46"
"SNG06LLSB","0x10075","Stützstellenverteilung Drehzahlgradient, 6 Sst.","6x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-1300.0","500.0","0xf3","0x5"
"SNG06LLSB","0x10075","Stützstellenverteilung Drehzahlgradient, 6 Sst.","6x1","8 Bit","-","U/min/s","?","-","100.0","1.0","1.0","-1300.0","500.0","0xf3","0x5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08DMUB","0x1007c","SST-Verteilung in DMD, 8 Drehzahl-SST","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5"
"SNM08LDUB","0x10085","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM08LDUB","0x10085","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM08LDUB","0x10085","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM08LDUB","0x10085","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM08OPUB","0x1008e","Stützstellenverteilung für Motordrehzahl nmot","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM08OPUB","0x1008e","Stützstellenverteilung für Motordrehzahl nmot","8x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6000.0","0x19","0x96"
"SNM12ESUB","0x10097","SST-Verteilung für die Motordrehzahl nmot","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SNM12ESUB","0x10097","SST-Verteilung für die Motordrehzahl nmot","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SNM12ESUB","0x10097","SST-Verteilung für die Motordrehzahl nmot","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SNM12FEUB","0x100a4","Stützstellen für WDKSMX, WDKUGDN","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","6000.0","0x6","0x96"
"SNM12FEUB","0x100a4","Stützstellen für WDKSMX, WDKUGDN","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","6000.0","0x6","0x96"
"SNM12FEUB","0x100a4","Stützstellen für WDKSMX, WDKUGDN","12x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","240.0","6000.0","0x6","0x96"
"SNM16LDUB","0x100b1","Stützstellenverteilung für Ladedruckregelung","16x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6520.0","0x19","0xa3"
"SNM16LDUB","0x100b1","Stützstellenverteilung für Ladedruckregelung","16x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","1000.0","6520.0","0x19","0xa3"
"SNM16ZUUB","0x100c2","Stützstellenverteilung Drehzahl, 16 Sst.","16x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SNM16ZUUB","0x100c2","Stützstellenverteilung Drehzahl, 16 Sst.","16x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SNM16ZUUB","0x100c2","Stützstellenverteilung Drehzahl, 16 Sst.","16x1","8 Bit","-","Upm","?","-","40.0","1.0","1.0","520.0","6520.0","0xd","0xa3"
"SPU08LDUB","0x100d3","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","hPa","?","-","5.0","1.0","1.0","600.0","1010.0","0x78","0xca"
"SPU08LDUB","0x100d3","Stützstellenverteilung für Ladedruckregelung","8x1","8 Bit","-","hPa","?","-","5.0","1.0","1.0","600.0","1010.0","0x78","0xca"
