"ID","Address","Name","Size","Organization","Description","Units","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"-","0x106ad","Codewords:","168x1","8 Bit","-","-","-","-","1.0","1.0","1.0","0.0","30.0","0x0","0x1e","","",""
"-","0x106ec","DTC: 02 B1S2 Heating","1x1","8 Bit","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","","",""
"-","0x106ed","DTC: 02 B2S2 Heating","1x1","8 Bit","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","","",""
"-","0x106ee","DTC: 02 B1S2 Signal","1x1","8 Bit","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","","",""
"-","0x106ef","DTC: 02 B2S2 Signal","1x1","8 Bit","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","","",""
"NWPMBBR","0x109c6","(NWPMBBR) Minimum RPM For Accelerator Lockout On Braking(RPM Left Foot Braking)","1x1","8 Bit","-","RPM","-","-","49.0","1.0","1.0","1470.0","1470.0","0x1e","0x1e","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse"
"VWPMBBR","0x109de","(VWPMBBR) Minimum Vehicle Speed For Accelerator Lockout On Braking(RPM Left Foot Braking)","1x1","8 Bit","-","Km/h","-","-","1.25","1.0","1.0","3.75","3.75","0x3","0x3","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse"
"KFKHFM","0x10c94","(KFKHFM) Correction Map For MAF","14x14","8 Bit","-","-","%","RPM","0.007813","0.75","40.0","0.9531860000000001","1.09382","0x7a","0x8c","Korrekturkennfeld für HFM","Korrekturkennfeld für HFM","Korrekturkennfeld für HFM"
"KFZWOP","0x11430","(KFZWOP) Optimal Ignition Angle","11x16","8 Bit","-","grad KW","%","RPM","0.75","0.023438","0.25","2.25","46.5","0x3","0x3e","optimaler Zündwinkel","optimaler Zündwinkel","optimaler Zündwinkel"
"KFZWOP2","0x114e0","(KFZWOP) Optimal Ignition Angle Variant 2","11x16","8 Bit","-","grad KW","%","RPM","0.75","0.023438","0.25","4.5","48.75","0x6","0x41","optimaler Zündwinkel Variante 2","optimaler Zündwinkel Variante 2","optimaler Zündwinkel Variante 2"
