"TIME","RPM","BaroPressure","BoostPressureDesired","BoostPressureActual","BoostFrequencyValveDutyCycle","MassAirFlow","IntakeAirTemperature","AcceleratorPedalPosition","ThrottlePlateAngle","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","IgnitionRetardCyl5","IgnitionRetardCyl6","IgnitionTimingAngleOverall","KnockVoltCyl1","KnockVoltCyl2","KnockVoltCyl3","KnockVoltCyl4","KnockVoltCyl5","KnockVoltCyl6","VehicleSpeed","Gear","AirFuelRatioDesired","FuelInjectorOnTime","EGTbank1","EGTbank2","EGTbank1OXS","EGTbank2OXS","OXSVoltS1B1","OXSVoltS1B2","EngineLoadSpecified","EngineLoadCorrectedSpecified","EngineLoadDesired","EngineLoad"
"80","2716.25","980.1171875","979.21875","1016.40625","0","15.56994140625","71.15","17.625696192874","8.23529411764706","0","0","0","0","0","0","39","4.056","4.056","3.588","2.808","3.354","2.418","69.4333762659109","6","1","1.986875","1733.66796875","1733.6328125","505","505",".71",".63","199.436090225564","190.437030075188","20.3712406015038","19.6663533834586"
"150","2711.25","980.1171875","979.21875","1016.40625","0","15.18138671875","71.15","17.625696192874","8.23529411764706","0","0","0","0","0","0","39.75","3.9","4.368","3.744","2.964","3.354","2.574","69.4188128785938","6","1","1.9390625","1733.66796875","1733.6328125","505","505",".705",".705","199.436090225564","190.460526315789","20.4182330827068","19.3139097744361"
"220","2718.25","980.1171875","979.21875","1016.40625","0","16.18052734375","71.15","19.4247348744945","8.23529411764706","0","0","0","0","0","0","39","3.9","4.368","3.744","2.964","3.354","2.574","69.4188128785938","6","1","2.00015625","1733.66796875","1733.6328125","505","505",".71",".71","199.436090225564","190.437030075188","24.3186090225564","19.9013157894737"
"290","2718.5","980.1171875","979.21875","1011.875","0","18.95591796875","71.15","20.1434348058289","10.5882352941176","0","0","0","0","0","0","38.25","3.9","4.056","3.744","2.886","3.354","2.496","69.4333762659109","6","1","2.14359375","1733.66796875","1733.6328125","505","505",".65",".705","199.436090225564","190.437030075188","25.9398496240602","21.8984962406015"
"360","2715","980.1171875","979.21875","1013.359375","0","19.62201171875","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","36.75","4.212","3.744","3.744","2.73","3.12","2.496","69.43823072835","6","1","2.3003125","1733.66796875","1733.6328125","505","505",".16",".685","199.436090225564","190.437030075188","26.7857142857143","24.2951127819549"
"430","2717.75","980.1171875","979.21875","1013.75","0","21.00970703125","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","36","4.212","3.744","3.744","2.73","3.12","2.496","69.4430851907891","6","1","2.4278125","1733.66796875","1733.6328125","505","505",".06",".29","199.436090225564","190.437030075188","26.7387218045113","25.6343984962406"
"500","2718.75","980.1171875","979.2578125","1015.15625","0","21.17623046875","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.212","4.056","3.744","2.964","3.12","2.496","69.4527941156672","6","1","2.4915625","1733.66796875","1733.6328125","505","505",".075",".105","199.436090225564","190.413533834586","26.7622180451128","26.7152255639098"
"570","2715.75","980.1171875","979.2578125","1016.2890625","0","20.62115234375","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.524","4.212","3.588","2.808","3.12","2.574","69.4576485781063","6","1","2.4490625","1733.66796875","1733.6328125","505","505",".145",".65","199.436090225564","190.413533834586","26.7857142857143","26.3392857142857"
"640","2717","980.1171875","979.2578125","1017.578125","0","20.7044140625","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.524","4.212","3.588","2.808","3.12","2.574","69.4625030405453","6","1","2.475625","1733.66796875","1733.6328125","505","505",".665",".75","199.436090225564","190.437030075188","26.7622180451128","26.7387218045113"
"711","2718.75","980.1171875","979.2578125","1019.0234375","0","21.2594921875","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.524","3.9","3.276","2.652","3.12","2.73","69.4770664278625","6","1","2.465","1733.66796875","1733.6328125","505","505",".685",".75","199.436090225564","190.413533834586","26.7622180451128","26.5977443609023"
"781","2720.25","980.1171875","979.2578125","1019.4921875","0","21.53703125","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.68","4.212","3.588","2.652","3.198","2.574","69.4867753527406","6","1","2.49421875","1733.66796875","1733.6328125","505","505",".69",".755","199.436090225564","190.413533834586","26.7387218045113","26.9031954887218"
"851","2719.75","980.1171875","979.2578125","1021.3671875","0","21.28724609375","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.368","4.524","3.744","2.73","3.198","2.496","69.5061932024969","6","1","2.4915625","1733.66796875","1733.6328125","505","505",".69",".745","199.436090225564","190.413533834586","26.7622180451128","27.1616541353383"
"921","2720.75","980.1171875","979.296875","1022.0703125","0","21.50927734375","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.368","4.524","3.744","2.73","3.198","2.496","69.515902127375","6","1","2.433125","1733.66796875","1733.6328125","505","505",".695",".76","199.436090225564","190.437030075188","26.7152255639098","27.1146616541353"
"991","2724.75","980.1171875","979.296875","1024.296875","0","21.50927734375","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.368","4.212","3.432","2.574","3.042","2.418","69.5353199771313","6","1","2.411875","1733.66796875","1733.6328125","505","505",".69",".76","199.436090225564","190.413533834586","26.7152255639098","27.0206766917293"
"1061","2722.25","980.1171875","979.296875","1024.3359375","0","20.981953125","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.056","4.368","3.744","2.73","2.964","2.262","69.5498833644484","6","1","2.3640625","1733.66796875","1733.6328125","505","505",".645",".745","199.459586466165","190.437030075188","26.7152255639098","26.8562030075188"
"1131","2719.25","980.1171875","979.296875","1024.7265625","0","21.28724609375","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","4.056","4.368","3.744","2.73","2.964","2.262","69.5741556766438","6","1","2.3853125","1733.66796875","1733.6328125","505","505",".59",".72","199.436090225564","190.413533834586","26.7152255639098","27.0441729323308"
"1201","2720.75","980.1171875","979.296875","1026.640625","0","21.17623046875","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","3.9","4.68","4.056","2.808","2.964","2.418","69.5838646015219","6","1","2.4065625","1733.66796875","1733.6328125","505","505",".09",".695","199.436090225564","190.413533834586","26.7152255639098","26.8092105263158"
"1271","2726","980.1171875","979.3359375","1026.953125","0","21.17623046875","71.15","20.503547722591","10.5882352941176","0","0","0","0","0","0","35.25","3.9","4.368","3.588","2.964","3.12","2.574","69.6081369137172","6","1","2.4278125","1733.66796875","1733.6328125","505","505",".225",".685","199.459586466165","190.413533834586","26.6682330827068","27.0206766917293"
"1341","2726.25","980.1171875","979.3359375","1026.953125","0","20.4823828125","71.15","20.8621347371633","10.5882352941176","0","0","0","0","0","0","35.25","3.9","4.368","3.588","2.964","3.12","2.574","69.6469726132297","6","1","2.38","1733.66796875","1733.6328125","505","505",".45",".615","199.459586466165","190.437030075188","27.5140977443609","26.5742481203008"
"1412","2728.25","980.1171875","979.3359375","1029.4140625","0","21.12072265625","71.15","21.2222476539254","10.5882352941176","0","0","0","0","0","0","36","4.212","4.056","3.588","2.964","3.12","2.496","69.6906627751813","6","1","2.40125","1733.66796875","1733.6328125","505","505",".605",".615","199.459586466165","190.413533834586","28.359962406015","26.2922932330827"
"1482","2733.25","980.1171875","979.3359375","1027.5","0","21.7590625","71.15","22.3010605020218","11.3725490196078","0","0","0","0","0","0","35.25","4.212","4.212","3.9","2.808","2.886","2.496","69.7197895498156","6","1","2.4703125","1733.66796875","1733.6328125","505","505",".56",".205","199.459586466165","190.366541353383","30.8505639097744","27.0441729323308"
"1552","2734.25","980.1171875","979.3359375","1026.40625","0","23.17451171875","71.15","22.6611734187839","12.156862745098","0","0","0","0","0","0","34.5","4.212","4.212","3.9","2.808","2.886","2.496","69.7974609488406","6","1","2.57125","1733.66796875","1733.6328125","505","505",".215",".085","199.459586466165","190.366541353383","31.5789473684211","28.2424812030075"
"1622","2730.25","980.1171875","979.3359375","1026.796875","0","25.61685546875","71.15","22.6611734187839","12.5490196078431","0","0","0","0","0","0","33.75","3.9","3.9","3.588","2.73","2.886","2.574","69.8411511107922","6","1","2.78375","1733.66796875","1733.6328125","505","505",".08",".08","199.459586466165","190.366541353383","31.5789473684211","30.7330827067669"
"1692","2730.25","980.1171875","979.3359375","1029.53125","0","25.17279296875","71.15","22.6611734187839","12.5490196078431","0","0","0","0","0","0","33.75","3.9","3.9","3.588","2.73","2.73","2.652","69.8508600356703","6","1","2.815625","1733.66796875","1733.6328125","505","505",".075",".08","199.459586466165","190.413533834586","31.6259398496241","31.5084586466165"
"1762","2732.5","980.1171875","979.3359375","1030.8984375","0","25.644609375","71.15","22.6611734187839","12.5490196078431","0","0","0","0","0","0","33.75","4.056","4.056","3.9","2.73","2.808","2.652","69.8508600356703","6","1","2.8634375","1733.66796875","1733.6328125","505","505",".125",".095","199.459586466165","190.390037593985","31.6259398496241","32.1193609022556"
"1832","2735.5","980.1171875","979.375","1034.1796875","0","25.61685546875","71.15","22.6611734187839","12.5490196078431","0","0","0","0","0","0","33.75","4.056","4.056","3.9","2.73","2.808","2.652","69.8654234229875","6","1","2.836875","1733.66796875","1733.6328125","505","505",".69",".15","199.459586466165","190.366541353383","31.6259398496241","31.9313909774436"
"1902","2738.75","980.1171875","979.375","1034.8046875","0","25.33931640625","71.15","22.6611734187839","12.156862745098","0","0","0","0","0","0","33.75","4.524","4.368","3.588","2.964","2.652","2.496","69.8896957351828","6","1","2.82890625","1733.66796875","1733.6328125","505","505",".72",".715","199.459586466165","190.366541353383","31.5554511278195","31.8139097744361"
"1972","2742.75","980.1171875","979.375","1036.875","0","25.45033203125","71.15","22.6611734187839","12.156862745098","0","0","0","0","0","0","33","4.368","4.056","3.432","2.808","2.652","2.574","69.9430948220125","6","1","2.77046875","1733.66796875","1733.6328125","505","505",".71",".73","199.459586466165","190.343045112782","31.6729323308271","32.1898496240602"
"2042","2740","980.1171875","979.375","1038.203125","0","25.39482421875","71.15","21.9424734874495","12.156862745098","0","0","0","0","0","0","33.75","4.368","4.056","3.432","2.808","2.652","2.574","69.9916394464031","6","1","2.74390625","1733.66796875","1733.6328125","505","505",".72",".745","199.459586466165","190.366541353383","29.8637218045113","31.8139097744361"
"2113","2738.75","980.1171875","979.375","1041.3671875","0","24.17365234375","71.15","20.8621347371633","11.7647058823529","0","0","0","0","0","0","33.75","4.056","4.212","3.744","2.808","2.808","2.73","70.0013483712813","6","1","2.581875","1733.66796875","1733.6328125","505","505",".665",".75","199.459586466165","190.366541353383","27.3966165413534","31.156015037594"
"2183","2742","980.1171875","979.375","1044.1015625","0","21.89783203125","71.15","19.0646219577325","10.5882352941176","0","0","0","0","0","0","33.75","4.056","4.056","3.744","2.964","2.73","2.574","70.0013483712813","6","1","2.39859375","1733.66796875","1733.6328125","505","505",".63",".725","199.459586466165","190.390037593985","23.2377819548872","29.7462406015038"
